序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
526,陕北四章（四、闹红火）,竹笛与民族乐队协奏,程大兆,,,ZD-SB0001.1996,,总谱 分谱,,,,,,,,,陕西
527,山村小景,笛子独奏,刘森,,,ZD-SC0001.1993,,手写简总谱,,,,,,,,,山东
528,深秋叙,大曲笛独奏,穆祥来,,,ZD-SQ0001.1989,,手写总谱,,,,,,,,,
529,小放牛,笛子独奏,,刘森,,ZD-XF0001,,手写简总谱,,,,,,,,,昆曲
530,喜相逢,笛子独奏,冯子存,,,ZD -XX0001,,手写简总谱,,,,,,,,,内蒙古
,雪意断桥,竹笛独奏,刘锡津,,,ZD-XY0003,曲库电脑,钢伴谱,✓,,,,,,,,
531,远方的思念,笛子独奏,,,,ZD-YF0001,,手写总谱,,,,,,,,,
532,幽兰逢春,竹笛独奏,赵松庭,,王甫建,ZD-YL0001,,总谱 分谱,,,,,,,,,
533,沂蒙山歌,竹笛独奏,,,,ZD-YM0001,,总谱,,✓,,,,,,,
534,原始狩猎图,骨笛小协奏,钱兆熹,,,ZD-YS0001,,总谱 手写总谱,,,,,,,,,
535,云雀,口笛独奏,罗马尼亚民间乐曲,逾逊发,李复斌,ZD-YQ0001,,总谱,,,,,,,,,
536,夜莺,中国笛与管弦乐,雅尼,,李复斌,ZD-YY0001.2013,,总谱 分谱,,,,,,,,,
537,夜莺,中国笛与民族管弦乐,雅尼,,李复斌,ZD-YY0001.2015,,总谱,✓,✓,,,,,,,
538,夜莺,中国笛与乐队,雅尼,,李复斌,ZD-YY0001.2016,,总谱 分谱,✓,✓,,,,,,,
539,夜莺,中国笛与乐队,雅尼,,李复斌,ZD-YY0001.2019,,总谱 分谱,,,,,,,,,
540,走西口,竹笛协奏,,,,ZD-ZX0001,,总谱 分谱,,,,,,,,,
541,走西口,笛子协奏,南维德、李镇、魏家稔,何占豪,,ZD-ZX0001,,手写总谱,,,,,,,,,
542,Aragonaise of Carmen,中音笙独奏,Georges Bizet,,李复斌,SH-AR0001,,分谱,,,,,,,,,
543,阿细欢歌,笙与双排键,,,,SH-AX0001,,总谱,,,,,,,,,
544,冬猎,笙独奏,文佳良,,,SH-DL0001,,总谱 分谱,,,,,,,,,
545,冬猎,笙独奏,文佳良,,,SH-DL0001（2）,,总谱 简总谱,,,,,,,,,
546,飞天,笙独奏,许景新、陈大伟,李复斌,,SH-FT0001.2015,,总谱 分谱,,,,,,,,,
547,飞天,笙独奏,许景新、陈大伟,李复斌,,SH-FT0001.2015（2）,,总谱,,,,,,,,,
548,欢乐的草原,笙与乐队,张文良,,,SH-HL0001,,手写简总谱,,,,,,,,,
549,九歌之东皇太一（祭祀乐）,笙独奏,李复斌,,,SH-JG0001.2010,,总谱,,,,,,,,,
550,满园春,笙独奏,周煜国,周煜国,,SH-MY0001.1995,,手写总谱,,,,,,,,,
551,平湖秋月,笙与竖琴,,李复斌,,SH-PH0001.2018,,总谱,,,,,,,,,
552,秦王破阵乐,笙独奏,,张之良,,SH-QW0001.2018,,总谱,✓,✓,,,,,,,
553,我爱祖国的西沙（南海渔歌）,笙独奏,苏安国、王惠然,,,SH-WA0001,,手写总谱,,,,,,,,,
554,微山湖船歌,笙独奏,牟善平,,,SH-WS0001,,手写简总谱,,,,,,,,,
555,星湖美,笙独奏,杨龙华,李复斌,,SH-XH0001,,总谱,,,,,,,,,
556,小河淌水,笙独奏,尹宜众,李复斌,,SH-XH0002.2015,,总谱,,✓,✓,,,,,,
,窗花舞,唢呐/低音管五重奏,,,,SN-CH0001,曲库电脑,总谱 分谱,✓,✓,,,,,,,
557,夺丰收,唢呐独奏,,,武胜,SN-DF0001.2001,,手写简总谱,,,,,,,,,
558,大跃进把码头面貌改,唢呐领奏,,李复斌,,SN-DY0001,,总谱,,,,,,,,根据现代京剧《海港》同名唱段改编,
559,打枣,唢呐独奏,,曹文工,,SN-DZ0001,,总谱 分谱,,,,,,,,,
560,打枣,唢呐独奏,,李复斌,,SN-DZ0002,,总谱,,,,,,,,,
561,关中情,唢呐与乐队,梁欣,,,SN-GZ0001,,总谱,,,,,,,,,
562,黄土情,唢呐独奏,周东朝,,李复斌,SN-HT0001,,总谱 分谱 手写总谱,,,,,,,,,
563,黄土情,唢呐独奏,周东朝,,李复斌,SN-HT0001（2）,,总谱 分谱,,,,,,,,,
564,锔大缸,唢呐独奏,,吴安明,吴安明,SN-JD0001,,简总谱 简分谱,,,,,,,,,
,锔大缸,唢呐独奏,,吴安明,李复斌,SN-JD0001.2025,曲库电脑,总谱 分谱,✓,✓,,,,,,,
565,客家情话（客家婚嫁叙事）,编管唢呐协奏,李复斌,,,SN-KJ0001,,总谱 分谱,,,,,,,,,
566,梦归,唢呐独奏,赵士强,,,SN-MG0001,,手写总谱,,,,,,,,,
567,山村来了售货员,唢呐独奏,张晓蜂,李复斌,,SN-SC0001,,总谱,,,,,,,,,
568,胜利秧歌,唢呐独奏,,李复斌,,SN-SL0001,,总谱,,,,,,,,,
569,十送红军,唢呐与乐队,,李复斌,,SN-SS0001,,总谱 分谱,,,,,,,,,
570,十送红军,双唢呐与乐队,朱正本,李复斌,,SN-SS0001.2016,,总谱,,,,,,,,,
,十送红军,双唢呐与乐队,朱正本,李复斌,,SN-SS0001.2021,曲库电脑,总谱 分谱,✓,✓,,,,,,,
571,山之畅想,唢呐独奏,,,,SN-SZ0001,,分谱,,,,,,,,新锐民族管弦乐,
572,喜丰收,唢呐独奏,彭修文,,,SN-XF0001,,手写简总谱,,,,,,,,,
573,夜深沉,唢呐独奏,,王中山,李复斌,SN-YS0001.2018,,总谱,,,,,,,,,
574,一枝花,唢呐独奏,,,,SN-YZ0001,,总谱,,✓,✓,,,,,,
575,中国婚嫁,唢呐协奏,李复斌,,,SN-ZG0001.2010,,总谱,,,,,,,,,
,中国婚嫁,唢呐协奏（交响乐版）,李复斌,,,SN-ZG0001.2021,曲库电脑,总谱,✓,✓,,,,,,,
,中国婚嫁,唢呐独奏（钢琴伴奏版）,李复斌,,,SN-ZG0001.2022,曲库电脑,钢伴谱,✓,✓,,,,,,,
,中国婚嫁,唢呐协奏（民族乐队版）,李复斌,,,SN-ZG0001.2022.2,曲库电脑,总谱,✓,✓,,,,,,,
576,正月十五闹雪灯,唢呐独奏,刘英,李复斌,,SN-ZY0001.2006,,总谱 分谱,,,,,,,,,
577,欢乐渔港,喉管独奏,梁军,,,HG-HL0001,,总谱,,,,,,,,,
578,走西口,山西管子独奏,,,,HG-ZX0001,,手写总谱,,,,,,,,,
579,毕兹卡欢庆会,柳琴协奏,,,,LQ-BZ0001,,总谱,,,,,,,,,
580,春到沂河、打虎上山,柳琴独奏,王惠然,张大森,,LQ-CD0001,,手写总谱,,,,,,,,《打虎上山》改编：张典华、配伴奏：曹文工,
581,故土情愫,柳琴独奏,,,,LQ-GT0001,,总谱,,,,,,,,,
582,花,柳琴协奏,张永钦,,,LQ-H0001,,总谱,,,,,,,,,
583,江月琴声——读《琵琶行》有感,柳琴协奏,王惠然,,,LQ-JY0001.2018,,总谱,,,,,,,,,
584,蓝海之梦,柳琴与乐队,王惠然、王红艺,,,LQ-LH0001.2018,,总谱,,,,,,,,,
585,满族风情（Mv.I-IV）,柳琴组曲,刘锡津,,,LQ-MZ0001.2018,,手写总谱,,,,,,,,,
586,塔吉克舞曲（民乐队伴奏）,柳琴独奏,王惠然,,朱可圣,LQ-TJ0001.1985,,手写总谱,,,,,,,,,
587,弹起我心爱的土琵琶,柳琴独奏,,,,LQ-TQ0001.2018,,总谱,,,,,,,,,
588,雨后庭院,柳琴独奏,苏文庆、郑翠苹,陈怡蒨,,LQ-YH0001,,总谱,,,,,,,,,
589,云雀,柳琴与乐队,根据罗马尼亚民间乐曲改编,,,LQ-YQ0001,,总谱,,,,,,,,,
590,蝉之舞,扬琴独奏,许坚强,,,YQ-CZ0001,,简分谱,,,,,,,,,
591,凤凰于飞,扬琴与乐队,,桂习礼,朱毅,YQ-FH0001.1991,,手写总谱,,,,,,,,,
592,火把节之夜,扬琴独奏,吴俊生,王文亮,李复斌,YQ-HB0001,,简总谱 总谱,,,,,,,,,
593,火把节之夜,扬琴独奏,吴俊生,王文亮,李复斌,YQ-HB0001（2）,,总谱 分谱,,,,,,,,,
594,红河的春天,扬琴独奏,,李复斌,,YQ-HH0001,,手写简总谱,,,,,,,,,
595,黄河,双扬琴协奏,冼星海,李复斌,,YQ-HH0002,,总谱,,,,,,,,,
596,海峡音诗、苏武放羊,扬琴独奏,茅匡平、项祖华,,,YQ-HX0001.1982,,手写总谱,,,,,,,,,
597,孔雀开屏,扬琴独奏,何大傻,李复斌,李复斌,YQ-KQ0001.1992,,手写简总谱,,,,,,,,,
598,狂想曲（民乐版）,扬琴协奏,王丹红,,,YQ-KX0001,,总谱,,,,,,,,,
599,林冲夜奔,扬琴协奏,项祖华,,李复斌,YQ-LC0001,,简总谱 总谱,,,,,,,,,
600,苗岭的早晨、黄土情、节日的天山（旋律谱）,扬琴独奏（协奏）,,,,YQ-ML0001,,简总谱,,,,,,,,,
601,梦游天姥山（扬琴幻想曲）,扬琴独奏,徐坚强,,,YQ-MY0001.2008,,手写总谱,,,,,,,,,
602,明月清风,扬琴协奏,,,,YQ-MY0002.2015,,总谱 分谱,,,,,,,,,
603,清风明月,扬琴与乐队,房晓敏,,,YQ-QF0001.2018,,分谱,,,,,,,,,
604,萨埵,扬琴与室内乐队,冯俊豪,,,YQ-SD0001.2019,,总谱,,,,,,,,,
605,三峡画页（Mv.I）,扬琴协奏（独奏）,李复斌,,,YQ-SX0001.2006,,总谱 分谱,,,,,,,,,
606,三峡画页（Mv.I-III）,扬琴协奏,李复斌,,,YQ-SX0001.2007,,总谱,,,,,,,,,
,三峡画页（出版）,扬琴协奏（独奏）,李复斌,,,YQ-SX0001,曲库电脑,钢伴谱 总谱,✓,,,,,,,,
607,天山诗画,扬琴独奏,黄河,,李复斌,YQ-TS0001,,简总谱 总谱,,,,,,,,,
608,五洲万国有知音,扬琴,,李复斌,,YQ-WZ0001,,总谱,,,,,,,,,
609,峡,扬琴独奏,李复斌,,,YQ-X0001.2006,,总谱,,,,,,,,,
610,乡村抒怀,扬琴独奏,,李玲玲,李复斌,YQ-XC0001,,总谱 分谱,,,,,,,,,
611,阳光照耀在塔什库尔干,扬琴独奏,陈钢,,,YQ-YG0001,,总谱,,,,,,,,,
612,银河双星,扬琴独奏,根据广东音乐“银河会”“双星恨”改编,汤凯旋,汤凯旋,YQ-YH0001.2002,,手写简总谱,,,,,,,,,
613,音诗——沙迪尔传奇,扬琴,,,,YQ-YS0001,,手写简总谱,,,,,,,,,
614,忆事曲,扬琴协奏,刘惠荣,,,YQ-YS0002,,手写总谱,,,,,,,,,
615,春秋,琵琶协奏,唐建平,,,PP-CQ0001.1994/1998,,手写总谱,,,,,,,,,
616,彩云追月,琵琶二重奏,根据任光《彩云追月》改编,李复斌,,PP-CY0001,,总谱,,,,,,,,,
617,草原小姐妹,琵琶独奏,,阎惠昌,,PP-CY0002,,手写总谱 总谱 分谱,,,,,,,,,
618,火把节之夜,琵琶、中阮独奏,吴俊生,李复斌,,PP-HB0001,,总谱 分谱,,,,,,,,,
619,孔雀开屏,琵琶独奏,,,李复斌,PP-KQ0001,,总谱,,,,,,,,,
620,孔雀开屏,琵琶独奏,,李复斌,,PP-KQ0001.2016,,总谱,,,,,,,,,
621,狼牙五壮士,琵琶协奏,吕绍恩,,李复斌,PP-LY0001,,分谱,,,,,,,,,
622,狼牙五壮士,琵琶协奏,吕绍恩,,李复斌,PP-LY0001.2011,,总谱 分谱,,,,,,,,,
623,狼牙五壮士,琵琶协奏,吕绍恩,,李复斌,PP-LY0001.2015,,总谱,,,,,,,,,
,狼牙五壮士,琵琶协奏,吕绍恩,,李复斌,PP-LY0001.2021,曲库电脑,总谱,✓,✓,,,,,,,
624,琵琶语,琵琶与乐队,,李复斌,,PP-PP0001.2016,,总谱,,,,,,,,,
625,秦川抒怀,琵琶独奏,,,,PP-QC0001,,总谱,,,,,,,,,
626,秋声醒国魂,琵琶弹唱,,,彭继光,PP-QS0001,,手写简总谱,,,,,,,,,
627,诉——读“琵琶行”有感,琵琶协奏,吴厚元,李复斌,,PP-S0001.1997,,手写总谱,,,,,,,,,
628,诉——读“琵琶行”有感,琵琶协奏,吴厚元,李复斌,,PP-S0001.2006,,总谱 分谱,✓,✓,,,,,,,
629,诉——读“琵琶行”有感,琵琶协奏,吴厚元,李复斌,,PP-S0001.2006（2）,,总谱 分谱,,,,,,,,,
630,塞上曲,琵琶与乐队,,张大森,,PP-SS0001.1980,,手写总谱 总谱,,,,,,,,,
631,十面埋伏（刘海德演奏版）,琵琶独奏,,李复斌,,PP-SM0001,,简总谱,,,,,,,,,
632,十面埋伏（刘海德演奏版）,琵琶协奏,,,李复斌,PP-SM0001.2015,,总谱 分谱,,,,,,,,,
633,十面埋伏（刘海德演奏版）,琵琶协奏,,,李复斌,PP-SM0001.2015（2）,,总谱 分谱,,,,,,,,,
634,十面埋伏·霸王别姬,琵琶、京胡与乐队,,李复斌,,PP-SM0001.2024,,总谱 分谱,,,,,,,,分谱不完整,
635,天鹅,琵琶独奏,刘德海,丁家琳,,PP-TE0001,,总谱,,,,,,,,,
636,渭水情,琵琶独奏,,,,PP-WS0001,,手写简分谱,,,,,,,,,
637,阳春白雪（卫仲乐演奏谱）,琵琶独奏,,高鸿祥,,PP-YC0001,,总谱 分谱,,,,,,,,,
638,彝族舞曲,琵琶与乐队,王惠然,,王惠然,PP-YZ0001,,总谱,,,,,,,,,
639,云开日出,琵琶独奏与民族管弦乐队,陈思昂,,,PP-YK0001.2015,,总谱,,,,,,,,,
,云开日出,琵琶独奏与民族管弦乐队,陈思昂,,,PP-YK0001.2025,曲库电脑,总谱 分谱,✓,✓,,,,,,,
640,坐看云起,琵琶独奏与民族管弦乐队,陈思昂,,,PP-ZK0001.2013,,总谱,,,,,,,,,
641,草原抒怀,中阮独奏,林吉良,,李复斌,ZR-CY0001,,总谱,,,,,,,,,
642,飞歌,中阮,唐建平,,,ZR-FG0001.2002,,分谱,,,,,,,,不全,
643,火把节之夜,中阮、琵琶独奏,,,,ZR-HB0001,,总谱,,,,,,,,,
644,火把节之夜,中阮与民族管弦乐,吴俊生,,李复斌,ZR-HB0001,,总谱,,,,,,,,,
,满江红,中阮与钢琴,林吉良,,周煜国,ZR-MJ0001,曲库电脑,钢伴谱,,,,,,,,,
645,天山之春,中阮独奏,,李复斌,,ZR-TS0001.2002,,总谱 分谱,,,,,,,,,
646,丝路驼铃（三首）,中阮独奏,宁勇,,,ZR-SL0001,,简总谱 总谱,,,,,,,,沙漠之夜、天地之间第六号（二重奏）,
647,山歌,中阮独奏,刘星,,李复斌,ZR-SG0001,,总谱 分谱,,,,,,,,,
648,山歌,中阮独奏,刘星,李复斌,,ZR-SG0001,,总谱,,,,,,,,,
649,山歌,中阮独奏,刘星,,李复斌,ZR-SG0001.2018,,总谱,,,,,,,,,
650,云南回忆,中阮独奏,刘星,,李复斌,ZR-YN0001.1987/1995/1997,,手写总谱,,,,,,,,MvI P1-31、MvII P32-47、MvIII P48-94,
651,春到湘江,古筝独奏,宁保生,王中山,李复斌,GZ-CD0001,,总谱 分谱,,,,,,,,,
652,春江花月夜（古曲）,古筝重奏,,何占豪,,GZ-CJ0001,,总谱,,,,,,,,,
653,川流（快板）,古筝,,,,GZ-CL0001,,总谱,,,,,,,,,
654,出水莲（饶宁新演奏谱）,古筝独奏（广东汉乐合奏）,,李复斌,,GZ-CS0001,,总谱 分谱,,,,,,,,,
655,出水莲（饶宁新演奏谱）,古筝与室内乐队,,,李复斌,GZ-CS0001,,总谱,,,,,,,,,
656,出水莲（陈安华演奏谱）,古筝与乐队,,李复斌,,GZ-CS0001,,总谱 分谱,,,,,,,,,
657,出水莲,古筝管弦版,,,,GZ-CS0001,,分谱,,,,,,,,,
658,禅院钟声,古筝与乐队,,李复斌,,GZ-CY0001.2008,,总谱 分谱,,,,,,,,,
659,春与荔枝湾,古筝独奏,黄德兴,李复斌,,GZ-CY0001.2014,,总谱,,,,,,,,,
660,打虎上山,古筝与乐队,,赵曼琴,陶承志,GZ-DH0001,,总谱,,,,,,,,,
661,翡翠,古筝重奏,王丹红,周展,,GZ-FC0001,,总谱,,,,,,,,,
662,枫桥夜泊,古筝与民族管弦乐,王建民,,李复斌,GZ-FQ0001.2011,,分谱,,,,,,,,不全,
663,四季岭南（古筝·立春）,古筝,李复斌,,,GZ-SJ0001,,总谱 分谱,,,,,,,,,
664,四季岭南（古筝·立春）,古筝,李复斌,,,GZ-SJ0001（2）,,总谱,,,,,,,,,
665,欢乐的日子,古筝重奏,马圣龙,傅华强、沙里晶,,GZ-HL0001,,简总谱,,,,,,,,,
666,黄土情,古筝独奏,黄河,,,GZ-HT0001,,简总谱 分谱,,,,,,,,,
667,寒鸦戏水,古筝独奏,,,,GZ-HY0001,,手写总谱,,,,,,,,,
668,寒鸦戏水,古筝独奏,,,李复斌,GZ-HY0001,,总谱,,,,,,,,,
669,寒鸦戏水,古筝独奏,,,李复斌,GZ-HY0001,,总谱 分谱,,,,,,,,,
670,镜海晓梦（古筝与民族管弦乐队）,古筝独奏,王瑞,蔡晓琳,,GZ-JH0001,,总谱,,,,,,,,,
671,将军令（项斯华演奏谱）,古筝与乐队,,,李复斌,GZ-JJ0001.2016,,总谱,,,,,,,,,
672,将军令（项斯华演奏谱）,古筝独奏,,,李复斌,GZ-JJ0001,,总谱,,,,,,,,,
673,蕉石鸣琴,古筝与弦乐,吕文成,李复斌,,GZ-JS0001,,总谱,,,,,,,,,
674,狂想曲,古筝与小乐队,三木稔,黄晓飞,,GZ-KX0001,,总谱,,,,,,,,,
675,临安遗恨,古筝协奏,,何占豪,,GZ-LA0001,,总谱,,,,,,,,,
676,莲花谣（短板）,古筝与乐队,王建民,,,GZ-LH0001,,总谱 分谱,✓,,,,,,,,
677,琉璃误,古筝三重奏,,,,GZ-LL0001,,简总谱,,,,,,,,,
678,梁祝,古筝协奏,何占豪、陈钢,,,GZ-LZ0001,,手写总谱,,,,,,,,,
679,弥渡山歌,古筝与打击乐,尹宜众,李复斌,,GZ-MD0001.2014,,总谱,✓,✓,,,,,,,
680,孟姜女随想曲,古筝与乐队,,,曹文工,GZ-MJ0001.2013,,总谱 分谱,,,,,,,,,
681,孟姜女随想曲,古筝与乐队,,,曹文工,GZ-MJ0001.2013（2）,,总谱,,,,,,,,,
682,秋,古筝二重奏,,朱晓谷,,GZ-Q0001,,简总谱,,,,,,,,,
683,庆典序曲,古筝与钢琴,,,,GZ-QD0001,,总谱,,,,,,,,,
684,清明上河图,古筝三重奏,刘为光,林玲,,GZ-QM0001,,简总谱,,,,,,,,,
685,山丹丹开花红艳艳,古筝独奏,刘烽,李复斌,,GZ-SD0001.2016,,总谱,,,,,,,,,
686,四季岭南（古筝·立春）,古筝,李复斌,,,GZ-SJ0001,,总谱,,,,,,,,,
687,四季未央,古筝二重奏,,,,GZ-SJ0001,,总谱,,,,,,,,,
688,四季未央·春生之木,古筝四重奏,于明洁,,,GZ-SJ0001,,简总谱,,,,,,,,,
689,三峡画页I、II,古筝、扬琴协奏,李复斌,,,GZ-SX0001,,总谱 分谱,,,,,,,,,
690,卧虎藏龙,古筝协奏,谭盾,吴莉,陶一陌,GZ-WH0001,,总谱,,,,,,,,,
691,西凉沙影,古筝,,,,GZ-XL0001.2020,,总谱,,,,,,,,,
692,西域随想、莲花谣,古筝独奏,王建民,,,GZ-XY0001,,总谱,,,,,,,,,
693,乡韵,古筝独奏,周煜国,,,GZ-XY0001,,总谱,,,,,,,,,
694,炎,古筝三重奏,水野利彦,,,GZ-Y0001,,总谱,,,,,,,,,
695,岳飞,古筝协奏,张殿英,,,GZ-YF0001,,手写总谱,,,,,,,,,
696,夜深沉,古筝独奏,,王中山,李复斌,GZ-YS0001,,总谱,,,,,,,,,
697,彝族舞曲,古筝独奏,,,,GZ-YZ0001,,总谱,,,,,,,,,
698,云之南,古筝三重奏,,袁莎、袁莉,,GZ-YZ0002,,简总谱,,,,,,,,,
699,逐梦,古筝四重奏,赵沁旸、陈蓓萱,,,GZ-ZM0001,,总谱,,,,,,,,,
700,巴山之舞,打击乐与民族管弦乐,李复斌,,,DJ-BS0001,,总谱,✓,✓,,,,,,,
701,潮乡情,潮州大锣鼓,黄唯奇,,,DJ-CX0001,,手写简总谱 手写简分谱,,,,,,,,,
702,东郭先生与狼,打击乐协奏,李复斌,,,DJ-DG0001.2024,,总谱,,,,,,,,,
703,画眉跳架,潮州小锣鼓,林运喜,,,DJ-HM0001.1995,,总谱,,,,,,,,,
704,画眉跳架,潮州小锣鼓,,,,DJ-HM0002,,手写简分谱,,,,,,,,,
705,老虎磨牙,西安鼓乐,,,,DJ-LH0001,,总谱 分谱,,,,,,,,,
706,龙年新世纪 Mv.I 太阳,打击乐协奏,关乃忠,,,DJ-LN0001,,分谱,,,,,,,,,
707,马林巴曲集,打击乐,,,,DJ-ML0001,,总谱,,,,,,,,,
708,南海佛灯,庙堂鼓乐,,黄唯奇,李复斌,DJ-NH0001,,总谱 手写简总谱,,,,,,,,,
709,算盘,算盘与乐队,,,,DJ-SP0001,,总谱 分谱,,,,,,,,,
710,社庆,潮州大锣鼓,,陈估辉,余亦文,DJ-SQ0001.1988,,手写总谱,,,,,,,,,
711,狮子戏球,潮州小锣鼓,,黄唯奇、陈博,黄唯奇、陈博,DJ-SZ0001,,手写简总谱,,,,,,,,,
712,太阳,打击乐与乐队,,,,DJ-TY0001,,总谱 分谱,,,,,,,,,
713,夜深沉,打击乐,,,,DJ-YS0001,,手写简总谱,,,,,,,,,
714,走马（走马英雄）,木琴独奏,根据吕文成《大开门》改编,汤凯旋,汤凯旋,DJ-ZM0001.2008,,手写总谱,,,,,,,,,
715,春到田间,高胡独奏,,李复斌,,GH-CD0001,,简总谱 分谱,,,,,,,,,
716,春到田间,高胡独奏,,李复斌,,GH-CD0001,,总谱 分谱,,,,,,,,,
717,春之岭南,高胡独奏,李复斌,,,GH-CZ0001,,总谱,,,,,,,,,
718,汉宫秋乐,高胡/椰胡与乐队,,李复斌,,GH-HG0001.2018,,总谱,,,,,,,,,
719,黄花浩气,高胡协奏,马韦雄,,马韦雄,GH-HH0001,,手写总谱,,,,,,,,,
720,荷塘闻歌,高胡独奏,吴远雄,,,GH-HT0001,,总谱 分谱,,,,,,,,,
721,凯旋,高胡独奏,陈俊英,,汤凯旋,GH-KX0001.2006,,手写简总谱,,,,,,,,,
722,凯旋,高胡独奏,,,,GH-KX0002,,总谱,,,,,,,,,
,凯旋,高胡独奏,陈俊英,,李复斌,GH-KX0002.2018,,总谱 分谱,✓,✓,,,,,,,
723,莱村女,高胡与乐队,房晓敏,,,GH-LC0001.1995,,手写简总谱 手写简分谱,,,,,,,,,
724,鸟投林,高胡独奏,,,李复斌,GH-NT0001.1998,,总谱,,,,,,,,,
725,鸟投林,高胡独奏,易剑泉,,李复斌,GH-NT0001.2018,,总谱,✓,✓,,,,,,,
726,你向世界走去,高胡,,,,GH-NX0001,,分谱,,,,,,,,,
727,秋江水云,高胡协奏,余乐夫,余乐夫,余乐夫,GH-QJ0001,,总谱,,,,,,,,,
728,琴诗,高胡独奏,,,,GH-QS0001,,手写总谱,,,,,,,,,
729,思念,高胡独奏,齐飞,,李复斌,GH-SN0001,,总谱 分谱,,,,,,,,,
,粤语心扉,高胡与乐队,李复斌,,,GH-YY0001,曲库电脑,总谱,,✓,,,,,,,
,粤语心扉（短板）,高胡与乐队,李复斌,,,GH-YY0001.2022,曲库电脑,总谱 分谱,✓,✓,,,,,,,
730,珠水人家,高胡领奏,李复斌,,,GH-ZS0001,,总谱 分谱,,,,,,,,,
731,妆台秋思,高胡与乐队,,李助炘,,GH-ZT0001.1996,,手写总谱,,,,,,,,,
732,昭君怨,高胡与乐队,根据广东音乐古曲改编,李助炘,,GH-ZZ0001.1997,,手写总谱,,,,,,,,,
733,长城随想I-IV,二胡协奏,刘文金,,,EH-CC0001,,手写总谱,,,,,,,,I不全，缺II,
734,长城随想I,二胡协奏,刘文金,,,EH-CC0001.1993,,手写分谱,,,,,,,,,
735,长城随想I,二胡协奏,刘文金,,,EH-CC0001.1993(2),,手写分谱,,,,,,,,,
736,长城随想III,二胡协奏,刘文金,李复斌,,EH-CC0001.1997,,手写总谱,,,,,,,,,
737,长城随想I,二胡协奏,刘文金,,李复斌,EH-CC0001.2015,,总谱,,,,,,,,,
738,长城随想I、IV,二胡独奏,刘文金,,李复斌,EH-GS0001.2015,,总谱,,,,,,,,,
739,长城随想I,二胡协奏,刘文金,李复斌,,EH-CC0001.1.2017,,总谱,✓,✓,,,,,,,
740,长城随想IV,二胡协奏,刘文金,,李复斌,EH-CC0001.4.2017,,总谱,✓,✓,,,,,,,
741,春晓,二胡协奏,陈中申,,,EH-CX0001.1995,,手写简总谱 手写简分谱,,,,,,,,,
742,岛歌,二胡独奏,,,,EH-DG0001,,总谱,,,,,,,,,
743,第一二胡狂想曲,二胡独奏,王建民,,,EH-DY0001.1999,,总谱,,,,,,,,,
744,二泉映月,二胡,,,,EH-EQ0001,,手写简分谱,,,,,,,,,
745,二泉映月,阮咸与二胡,,,,EH-EQ0001,,总谱,,,,,,,,,
746,二泉映月,二胡、筝、大提三重奏,华彦钧,,,EH-EQ0001,,总谱 简总谱,,,,,,,,,
747,二泉映月,二胡与民族管弦乐,华彦钧,彭修文,,EH-EQ0001.1980,,总谱,,,,,,,,,
748,二泉映月,古琴、箫、二胡三重奏,华彦钧,刘湲,,EH-EQ0001.1987,,手写总谱,,,,,,,,,
749,二泉映月,二胡与民族乐队,,李复斌,,EH-EQ0001.2013,,总谱 分谱,,,,,,,,,
750,二泉映月,二胡与合唱,华彦钧,李复斌,李复斌,EH-EQ00012017,,总谱,,,,,,,,,
751,洪湖主题随想,二胡与乐队,张敬安、欧阳谦叔,闵惠芬、朴东生,,EH-HH0001.1981,,总谱,,,,,,,,,
752,红梅随想曲,二胡协奏,,吴厚元,,EH-HM0001.1994,,手写总谱 总谱 分谱,,,,,,,,,经典作品
753,红梅随想曲（最短版本）,二胡协奏,,吴厚元,,EH-HM0001,,分谱,,,,,,,,,经典作品
754,红梅随想曲（最短版本）,二胡协奏,,吴厚元,,EH-HM0001（2）,,总谱 分谱,,,,,,,,,经典作品
,红梅随想曲（短板）,二胡协奏,,吴厚元,,EH-HM0001.2024,曲库电脑,总谱 分谱,✓,✓,,,,,,,经典作品
,红梅随想曲,二胡协奏,,吴厚元,李复斌,EH-HM0001.2025,曲库电脑,总谱 分谱,✓,✓,,,,,,,经典作品
755,红梅主题随想（根据歌剧《江姐》创作）,二胡独奏,李复斌,,,EH-HM0001.2019,,总谱,,,,,,,,,
756,江河水,二胡与双钢琴,黄海怀,李复斌,李复斌,EH-JH0001,,总谱,,,,,,,,,
757,江河水,二胡与乐队,黄海怀,赵德义、李复斌,赵德义、李复斌,EH-JH0001.1999,,手写总谱 总谱 分谱,,,,,,,,,
758,江河水,二胡,,,李复斌,EH-JH0001.2015,,分谱,,,,,,,,,
759,江河水,电子交响乐,,,李复斌,EH-JH0001.2009,,总谱,,,,,,,,,
760,江河水,二胡,,,李复斌,EH-JH0001.2009,,总谱 分谱,,,,,,,,无管乐,
761,江河水,二胡,,,李复斌,EH-JH0001.2009,,总谱 分谱,,,,,,,,无古筝、无低音吉他,
762,江河云梦,二胡独奏,梁云江,,,EH-JH0001,,总谱,,,,,,,,,
763,客风,二胡、梆笛协奏,房晓敏,,,EH-KF0001.2015,,总谱,,,,,,,,,
