序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
136,旱天雷,民族管弦乐,严老烈,,李复斌,CO-HT0022.2018,A4-2,总谱 分谱,,,,,,,,,广东
137,旱天雷（长版）,民族管弦乐,严老烈,,李复斌,CO-HT0022.2021,曲库电脑,总谱 分谱,✓,✓,,,,,,,广东
138,海峡情思（广东音乐）,民族管弦乐,刘国强,刘国强,,CO-HX0023,A4-2,手写简总谱,,,,,,,,,广东
139,红星闪闪,民族管弦乐,,,,CO-HX0024,A4-2,总谱,,,,,,,,,
140,徽乐三景,民族管弦乐,李复斌,,,CO-HY0025.2024,A4-2,总谱,✓,✓,,,,,,,安徽
141,徽乐长风（组曲）,民族管弦乐,李复斌,,,CO-HY0026,A4-2,总谱,,,,,,,,Mv Ⅰ黄山日出、Mv Ⅲ 龙舟,安徽
142,海韵,民族管弦乐,古月,李复斌,,CO-HY0027,A4-3,总谱 分谱,,,,,,,,,"歌曲改编,邓丽君"
143,荒野七侠,民族管弦乐,ELMER BERNSTEIN（美）,,李复斌,CO-HY0028.2008,A4-3,总谱 分谱,,,✓,,,,,,"外国作品,影视"
144,荒野七侠,民族管弦乐,ELMER BERNSTEIN（美）,,李复斌,CO-HY0028.2008(2),A4-3,总谱 分谱,,,,,,,,,"外国作品,影视"
145,荒野七侠,民族管弦乐,ELMER BERNSTEIN（美）,,李复斌,CO-HY0028.2008(3),A4-3,总谱 分谱,,,,,,,,,"外国作品,影视"
146,荒野七侠,民族管弦乐,ELMER BERNSTEIN（美）,,李复斌,CO-HY0028.2013,A4-3,总谱,,,,,,,,,"外国作品,影视"
147,荒野七侠,民族管弦乐,ELMER BERNSTEIN（美）,,李复斌,CO-HY0028.2015,A4-3,总谱,,,,,,,,,"外国作品,影视"
148,花朝月夕,民族管弦乐,房晓敏,,,CO-HZ0029.2013,A4-3,总谱,,,,,,,,,广东
149,花之歌——花儿为什么这样红,民族管弦乐,,,,CO-HZ0030,A4-3,总谱,,,,,,,,,"影视,歌曲改编,塔吉克"
150,寒鸦戏水,民族管弦乐,,,李复斌,CO-HY0031,A4-3,总谱,,,,,,,,,"广东,潮州音乐"
151,火凤凰,民族管弦乐,李复斌,,,CO-HF0032.2012,A4-3,总谱 分谱,,,,,,,,,李复斌原创
152,河北花梆子,民族管弦乐,,闫绍一,李恒,CO-HB0033,A4-3,总谱,,,,,,,,,河北
153,红楼梦之序曲,民族管弦乐,王立平,李复斌,,CO-HL0034,A4-3,总谱 分谱,,,,,,,,,"红楼梦,影视"
,欢乐颂,民族管弦乐,贝多芬,李复斌,,CO-HL0035.2025,曲库电脑,总谱,,✓,,,,,,,"2025教材,2级,外国作品,德国"
154,《基础民族管弦乐谱》应用乐谱上篇,民族管弦乐,,,,CO-JC0001,A4-4,简谱,,,,,,,,,书籍
155,《基础民族管弦乐谱》基础练习篇,民族管弦乐,,,,CO-JC0002,A4-4,简谱,,,,,,,,,书籍
156,九儿,民族管弦乐,阿鲲,,,CO-JE0003.2023,A4-4,总谱 分谱,✓,✓,,,,,,solo广泛可合奏可独奏：二胡 竹笛 唢呐与民族管弦乐,"影视,歌曲改编"
157,教父的爱,民族管弦乐,,,李复斌,CO-JF0004.2007,A4-4,总谱 分谱,,,,,,,,The Goldfather,"外国作品,影视"
158,教父的爱,民族管弦乐,,,李复斌,CO-JF0004.2008,A4-4,总谱 分谱,,,,,,,,The Goldfather,"外国作品,影视"
159,屈原：《九歌》之“东皇太一”（祭祀乐）第二版,民族管弦乐,李复斌,,,CO-JG0005.2010,A4-4,总谱 分谱,,,,,,,,,李复斌原创
160,橘红飘香,民族管弦乐,,,,CO-JH0006.2015,A4-4,总谱 分谱,,,,,,,,,广东
161,江河云梦,民族管弦乐,梁云江,,,CO-JH0007,A4-4,分谱,,,,,,,,,
162,将军令（广东汉乐）,民族管弦乐,,,,CO-JJ0008.2005,A4-4,手写总谱,✓,✓,,,,,,,"广东,广东汉乐"
163,将军令（广东汉乐合奏）,民族管弦乐,,,李复斌,CO-JJ0008.2006,A4-4,总谱 分谱,,,,,,,,,"广东,广东汉乐"
164,将军令（广东汉乐合奏）,民族管弦乐,,,李复斌,CO-JJ0008.2006（2）,A4-4,总谱 分谱,,,,,,,,,"广东,广东汉乐"
165,将军令（古曲）,民族管弦乐,,,顾冠仁,CO-JJ0009,A4-4,总谱,,,,,,,,,
166,江姐组曲,民族管弦乐,羊鸣 姜春阳 金砂,丁家琳,,CO-JJ0010,A4-4,分谱,,,,,,,,第1-8乐章,"江姐,经典歌剧"
,配乐朗诵《将进酒》,民族管弦乐,李复斌,,,CO-JJ0011,曲库电脑,总谱 分谱,✓,✓,,,,,,,
167,加勒比海盗,民族管弦乐,Klaus Badelt,,李复斌,CO-JL0011.2010,A4-4,总谱 分谱,,✓,✓,,,,,PIRATES of the CARIBBEAN,"外国作品,影视"
168,加勒比海盗,民族管弦乐,Klaus Badelt,,李复斌,CO-JL0011.2010(2),A4-4,总谱 分谱,,✓,✓,,,,,PIRATES of the CARIBBEAN,"外国作品,影视"
169,旧梦不须记,民族管弦乐,黄沾,李复斌,,CO-JM0012.2011,A4-5,总谱 分谱,,,,,,,,,歌曲改编
170,江南好,民族管弦乐,,李复斌,,CO-JN0013.2005,A4-5,总谱 分谱,,,,,,,,,江南丝竹
171,江南风韵（2001改编）,民族管弦乐,,,,CO-JN0014.2001,A4-5,总谱,,,,,,,,solo广泛可合奏可独奏：曲笛 二胡 古筝三重奏与乐队,江南丝竹
172,节庆欢舞,民族管弦乐,卢亮辉,,,CO-JQ0015,A4-5,总谱,,,,,,,,,
173,金蛇狂舞,民族管弦乐,,李复斌,聂耳,CO-JS0016,A4-5,总谱 分谱,,,,,,,,,经典作品
174,锦上添花,民族管弦乐,,,梁军,CO-JS0017.2017,A4-5,总谱,,,,,,,,,
175,江山多娇（无歌词）,民族管弦乐与合唱,陈述刘,李复斌,,CO-JS0018,,总谱 分谱,,,,,,,,,歌曲改编
,江山多娇（无歌词）,民族管弦乐与合唱,陈述刘,李复斌,,CO-JS0018,,总谱 分谱,,,,,,,,,
,金蛇辞旧马踏春,民族管弦乐,李复斌,,,CO-JS0019.2025,曲库电脑,总谱 分谱,✓,✓,,,✓,,,mm. 1-104金蛇狂舞+mm. 123-246赛马（黄海怀）,经典作品
176,孔雀开屏,民族管弦乐,何大傻,汤凯旋,,CO-KQ00001,A4-5,手写总谱,,,,,,,,广东音乐合奏，李复斌整理,广东
177,开场曲,民族管弦乐,,,,CO-KC0002,A4-5,总谱,,,,,,,,,
178,快乐的啰嗦,中西混编管弦乐,彝族民歌,李复斌,,CO-KL0003.,A4-5,总谱,,,,,,,,,"四川,彝族民歌"
179,快乐的啰嗦,民族管弦乐,彝族民歌,,李复斌,CO-KL0003.2020,A4-5,总谱 分谱,✓,✓,,,,,,,"四川,彝族民歌"
